date,cleaning_count,confirmed_labor_cost_yen
2026-03-01,10,73242
2026-03-02,14,90985
2026-03-03,13,87085
2026-03-04,5,38884
2026-03-05,9,66700
2026-03-06,12,69398
2026-03-07,10,70730
2026-03-08,16,102629
2026-03-09,7,50529
2026-03-10,11,94828
2026-03-11,13,92684
2026-03-12,5,34672
2026-03-13,11,73557
2026-03-14,13,94071
2026-03-15,12,92814
2026-03-16,15,104957
2026-03-17,9,65444
2026-03-18,8,53800
2026-03-19,5,33285
2026-03-20,13,83501
2026-03-21,7,53171
2026-03-22,18,123903
2026-03-23,11,77455
2026-03-24,7,45113
2026-03-25,9,71043
2026-03-26,10,69971
2026-03-27,14,95328
2026-03-28,9,62540
2026-03-29,13,101371
2026-03-30,10,72928
2026-03-31,6,38885
TOTAL,325,2285503
