month,building,room,total,1,2,3,4,5,6,7,8,9plus
2025-12,아라키초A,201호,6,0,0,0,4,2,0,0,0,0
2025-12,아라키초A,202호,4,0,0,1,1,1,1,0,0,0
2025-12,아라키초A,301호,8,0,0,1,5,2,0,0,0,0
2025-12,아라키초A,302호,6,0,0,0,2,2,2,0,0,0
2025-12,아라키초A,401호,7,0,0,1,5,1,0,0,0,0
2025-12,아라키초A,402호,7,0,1,0,2,3,1,0,0,0
2025-12,아라키초A,501호,9,0,0,3,6,0,0,0,0,0
2025-12,아라키초A,502호,8,0,0,1,4,1,2,0,0,0
2025-12,아라키초A,602호,8,0,0,1,4,2,1,0,0,0
2025-12,아라키초A,701호,6,0,0,0,2,4,0,0,0,0
2025-12,아라키초A,702호,8,0,0,1,3,3,1,0,0,0
2025-12,아라키초B,101호,7,0,0,0,2,2,1,0,2,0
2025-12,아라키초B,102호,8,0,0,1,1,2,1,1,1,1
2025-12,아라키초B,201호,5,0,0,0,0,4,1,0,0,0
2025-12,아라키초B,202호,6,0,0,0,2,2,1,0,1,0
2025-12,아라키초B,301호,9,0,0,1,2,3,2,0,1,0
2025-12,아라키초B,302호,8,0,0,0,0,5,1,1,0,1
2025-12,아라키초B,401호,10,0,0,0,5,2,2,0,1,0
2025-12,아라키초B,402호,11,0,0,1,2,1,2,0,1,4
2025-12,가부키초,202호,9,0,1,2,6,0,0,0,0,0
2025-12,가부키초,203호,10,1,0,2,7,0,0,0,0,0
2025-12,가부키초,302호,9,0,0,5,4,0,0,0,0,0
2025-12,가부키초,303호,9,1,0,1,7,0,0,0,0,0
2025-12,가부키초,402호,10,0,2,2,6,0,0,0,0,0
2025-12,가부키초,403호,8,0,1,0,7,0,0,0,0,0
2025-12,가부키초,502호,8,0,2,6,0,0,0,0,0,0
2025-12,가부키초,603호,6,0,0,6,0,0,0,0,0,0
2025-12,가부키초,802호,6,0,1,5,0,0,0,0,0,0
2025-12,가부키초,803호,8,0,2,6,0,0,0,0,0,0
2025-12,다카다노바바,201호,9,0,0,1,4,3,1,0,0,0
2025-12,다카다노바바,301호,7,0,0,1,1,5,0,0,0,0
2025-12,다카다노바바,401호,6,0,0,0,3,2,1,0,0,0
2025-12,다카다노바바,501호,6,0,0,1,1,2,2,0,0,0
2025-12,다카다노바바,601호,7,1,1,1,1,2,1,0,0,0
2025-12,다카다노바바,701호,6,0,1,0,1,2,2,0,0,0
2025-12,다카다노바바,801호,9,0,0,1,2,1,3,2,0,0
2025-12,다카다노바바,901호,10,0,0,0,3,2,2,3,0,0
2026-01,아라키초A,201호,6,0,0,0,4,2,0,0,0,0
2026-01,아라키초A,202호,8,0,1,0,4,2,1,0,0,0
2026-01,아라키초A,301호,8,0,0,2,3,3,0,0,0,0
2026-01,아라키초A,302호,9,0,0,0,3,2,4,0,0,0
2026-01,아라키초A,401호,10,0,1,1,4,4,0,0,0,0
2026-01,아라키초A,402호,7,0,0,0,3,3,1,0,0,0
2026-01,아라키초A,501호,6,0,0,1,4,1,0,0,0,0
2026-01,아라키초A,502호,10,0,0,2,3,4,1,0,0,0
2026-01,아라키초A,602호,10,0,2,2,3,1,2,0,0,0
2026-01,아라키초A,701호,10,0,2,1,2,5,0,0,0,0
2026-01,아라키초A,702호,10,0,0,0,4,3,3,0,0,0
2026-01,아라키초B,101호,7,0,0,0,3,2,1,0,1,0
2026-01,아라키초B,102호,9,1,0,0,2,0,0,4,1,1
2026-01,아라키초B,201호,8,0,0,1,3,2,2,0,0,0
2026-01,아라키초B,202호,8,0,0,0,3,1,0,3,1,0
2026-01,아라키초B,301호,10,0,0,0,1,3,4,0,2,0
2026-01,아라키초B,302호,7,0,0,0,1,0,3,0,2,1
2026-01,아라키초B,401호,6,0,0,0,0,1,2,1,2,0
2026-01,아라키초B,402호,13,0,0,0,0,3,1,4,1,4
2026-01,가부키초,202호,9,0,0,4,5,0,0,0,0,0
2026-01,가부키초,203호,10,0,0,2,8,0,0,0,0,0
2026-01,가부키초,302호,11,0,0,3,7,1,0,0,0,0
2026-01,가부키초,303호,11,1,0,2,8,0,0,0,0,0
2026-01,가부키초,402호,7,0,1,2,4,0,0,0,0,0
2026-01,가부키초,403호,11,1,1,3,6,0,0,0,0,0
2026-01,가부키초,502호,5,0,0,5,0,0,0,0,0,0
2026-01,가부키초,603호,8,0,0,8,0,0,0,0,0,0
2026-01,가부키초,802호,5,0,0,5,0,0,0,0,0,0
2026-01,가부키초,803호,8,1,0,7,0,0,0,0,0,0
2026-01,다카다노바바,201호,7,0,0,0,2,1,4,0,0,0
2026-01,다카다노바바,301호,9,0,0,0,4,4,1,0,0,0
2026-01,다카다노바바,401호,5,1,1,0,2,0,1,0,0,0
2026-01,다카다노바바,501호,6,1,0,0,2,2,0,1,0,0
2026-01,다카다노바바,601호,4,0,1,0,0,1,1,1,0,0
2026-01,다카다노바바,701호,6,0,0,0,1,4,1,0,0,0
2026-01,다카다노바바,801호,5,0,0,0,1,2,1,1,0,0
2026-01,다카다노바바,901호,6,0,0,2,0,0,2,2,0,0
2026-02,아라키초A,201호,6,0,0,0,2,4,0,0,0,0
2026-02,아라키초A,202호,8,0,0,3,3,2,0,0,0,0
2026-02,아라키초A,301호,8,0,0,1,2,5,0,0,0,0
2026-02,아라키초A,302호,9,0,1,0,3,3,2,0,0,0
2026-02,아라키초A,401호,6,0,1,1,2,2,0,0,0,0
2026-02,아라키초A,402호,9,0,0,3,5,0,1,0,0,0
2026-02,아라키초A,501호,7,0,0,2,4,1,0,0,0,0
